id_estomago,nome_popular,especie_predador,genero_predador,localidade,trecho_rio,periodo_hidrologico,mes,ano,comprimento_padrao_cm,peso_g,grau_replecao,volume_total_original_pct,volume_reescalonado_100,volume_peixe_nao_identificado_pct,volume_restos_peixe_pct,volume_ordens_peixes_pct,volume_familias_peixes_pct,volume_peixes_identificados_pct,volume_invertebrados_pct,volume_total_dieta_pct,riqueza_itens_alimentares,item_dominante_original,volume_item_dominante_pct,dieta_mista
BM023,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,cheia,abril,2009,,13000.0,2,100.0,False,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,Pimelodidae,100.0,False
BM024,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,cheia,dezembro,2009,76.0,6000.0,3,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Gymnotyformes,100.0,False
BM025,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,Humaitá,downriver Santo Antonio rapid,cheia,dezembro,2009,,,1,100.0,False,55.0,0.0,0.0,0.0,0.0,45.0,100.0,2,fish n.i.,55.0,True
BM026,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,Calama,downriver Santo Antonio rapid,vazante_seca,junho,2009,101.0,12000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Planiloricaria cryptodon,100.0,False
BM027,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,98.0,6000.0,1,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,2,Siluriformes,80.0,True
BM028,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,Calama,downriver Santo Antonio rapid,vazante_seca,junho,2009,90.0,9500.0,1,100.0,False,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,Doradidae,100.0,False
BM029,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,Cujubim Grande,downriver Santo Antonio rapid,vazante_seca,maio,2009,,13000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Cetopsis coecutiens,100.0,False
BM030,dourada,Brachyplatystoma rousseauxii,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,setembro,2009,92.0,12000.0,3,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Triportheus  spp.,100.0,False
BM031,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,São Carlos,downriver Santo Antonio rapid,vazante_seca,outubro,2009,104.0,16000.0,3,100.0,False,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,Pimelodidae,100.0,False
BM032,filhote,Brachyplatystoma filamentosum,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,108.0,16000.0,1,100.0,False,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,Siluriformes,100.0,False
