 popular_name;specie;localilty;area;season;month;year;standard_length (cm);weigth (g);stomach_fullness ;fish n.i.;bones;Characiformes;Clupeiformes;Gymnotyformes;Siluriformes;Anostomidae;Characidae;Curimatidae;Doradidae;Hemiodontidae;Pimelodidae;Myleinae;Tetragonopterinae;Adontosternarchus balaenops;Anadoras weddellii;Ancistrus sp. sideral;Apteronotus bonaparti;Astrodoras asterifrons;Astyanax aff. bimaculatus;Bryconops alburnoides;Calophysus macropterus;Cetopsis candiru;Cetopsis coecutiens;Curimatella meyeri;Duopalatinum peruano;Exallodontus aguanai;Hoplosternum littorale;Hypophthalmus marginatus;Leptodoras juruensis;Nemadoras humeralis;Mylossoma duriventre;Pellona castelnaeana;Pimelodina flavipinnis;Pimelodus blochii;Planiloricaria cryptodon;Potamorhina altamazonica;Potamorhina latior;Prochilodus nigricans;Psectrogaster amazonica;Psectrogastrer essequibensis;Psectrogaster rutiloides;Pseudanos trimaculatus;Pterodoras granulosus;Rhaphiodon vulpinus;Roeboides myersi;Schizodon fasciatus;Semaprochilodus insignis;Sternarchogiton preto;Tetragonopterus argenteus;Triportheus angulatus;Triportheus auritus;Acestrorhynchus spp.;Amblydoras spp.;Anodus spp.;Aphyocharax sp.;Brycon spp.;Caenotropus sp.;Cetopsis spp.;Crenicichla spp.;Geophagus spp.;Hypophthalmus spp.;Leporinus spp.;Megalonema spp.;Moenkhausia spp.;Mylossoma spp.;Pellona spp.;Pimelodus spp.;Pimelodella spp.;Plasgioscion spp.;Potamorhina spp.;Psectrogaster spp.;Semaprochilodus spp.;Sorubim spp.;Symbranchus spp.;Tetragonopterus spp.;Trachydoras spp.;Triportheus  spp.;scales;Coleoptera;Megaloptera;Trichoptera;Trichodactylus sp.;Macrobrachium spp.;reamins of invertebrates
Surubim;Pseudoplatystoma punctifer;São Carlos;downriver Santo Antonio rapid;Low-water;August;2009;;;1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barbachata;Pinirampus pirinampu;Cachoeira do Teotônio;between Santo Antonio and Jirau rapids;Low-water;September;2009;50;2000;1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;São Carlos;downriver Santo Antonio rapid;Low-water;August;2009;54;2000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;São Carlos;downriver Santo Antonio rapid;Low-water;August;2009;49;1300;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;São Carlos;downriver Santo Antonio rapid;Low-water;August;2009;36;500;3;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;50;2000;1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;50;2000;2;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;64;5000;1;30;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;São Carlos;downriver Santo Antonio rapid;Low-water;September;2009;50;2300;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;62;4000;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;31;1000;2;;;;;;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;33;1500;1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;43;2000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;37;3000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;39;2000;1;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;40;1500;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;56;2000;2;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;36;1500;2;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;51;3000;3;60;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;43;5000;1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;;;1;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;48;2000;3;;;;;;40;;;;20;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;52;2000;2;45;;;;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;27;2000;3;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;55;3000;2;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;2;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;;;1;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;36;2000;3;50;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;25;1000;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;Cachoeira do Macaco;between Santo Antonio and Jirau rapids;Low-water;June;2009;64;4000;1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caparari;Pseudoplatystoma tigrinum;Guajará Mirim;upriver Jirau rapid;Low-water;October;2009;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;
Caparari;Pseudoplatystoma tigrinum;Guajará Mirim;upriver Jirau rapid;Low-water;October;2009;;;3;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Babão;Brachyplatystoma platynemum;Arara;upriver Jirau rapid;Low-water;August;2009;;;3;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caparari;Pseudoplatystoma tigrinum;Humaitá;downriver Santo Antonio rapid;Low-water;October;2009;36;510;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100
Barbachata;Pinirampus pirinampu;Cachoeira do Teotônio;between Santo Antonio and Jirau rapids;Low-water;September;2009;;;3;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;São Carlos;downriver Santo Antonio rapid;Low-water;December;2009;33;380;1;;100;;378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Carlos;downriver Santo Antonio rapid;High-water;March;2010;102;16000;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Sebastião;downriver Santo Antonio rapid;High-water;April;2010;;;2;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Sebastião;downriver Santo Antonio rapid;High-water;April;2010;128;23000;3;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Carlos;downriver Santo Antonio rapid;High-water;january;2010;119;27000;1;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;Cachoeira do macaco;between Santo Antonio and Jirau rapids;Low-water;June;2010;114;15000;2;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;Cachoeira do macaco;between Santo Antonio and Jirau rapids;Low-water;June;2010;129;36000;1;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Carlos;downriver Santo Antonio rapid;Low-water;June;2010;77;8500;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;June;2010;;13000;2;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Carlos;downriver Santo Antonio rapid;Low-water;June;2010;93;13000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;July;2010;65;5000;1;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;
Barbachata;Pinirampus pirinampu;São Carlos;downriver Santo Antonio rapid;Low-water;September;2010;39;630;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;August;2010;95;13200;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;
Filhote;Brachyplatystoma filamentosum;São Carlos;downriver Santo Antonio rapid;Low-water;September;2010;66;3220;2;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;
Babão;Brachyplatystoma platynemum;São Carlos;downriver Santo Antonio rapid;Low-water;September;2010;64;3000;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;September;2010;83;8570;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;October;2010;76;10900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;September;2010;96;13000;3;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;October;2010;67;4000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;October;2010;74;6100;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;September;2010;92;12000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Babão;Brachyplatystoma platynemum;São Carlos;downriver Santo Antonio rapid;Low-water;August;2010;51;1000;1;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;Low-water;August;2010;77;5000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;
Caparari;Pseudoplatystoma tigrinum;São Carlos;downriver Santo Antonio rapid;Low-water;July;2010;84;6500;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;Cachoeira do Teotônio;between Santo Antonio and Jirau rapids;Low-water;October;2010;98;28000;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;
Barbachata;Pinirampus pirinampu;São Carlos;downriver Santo Antonio rapid;Low-water;June;2010;;1000;2;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Babão;Brachyplatystoma platynemum;São Carlos;downriver Santo Antonio rapid;Low-water;October;2010;56;1710;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;Calama;downriver Santo Antonio rapid;Low-water;September;2010;75;6000;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;
Babão;Brachyplatystoma platynemum;São Carlos;downriver Santo Antonio rapid;Low-water;October;2010;58;1820;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;São Carlos;downriver Santo Antonio rapid;Low-water;July;2010;52;1100;1;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;São Carlos;downriver Santo Antonio rapid;Low-water;July;2010;71;3900;1;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;Jaciparaná;between Santo Antonio and Jirau rapids;Low-water;May;2010;85;5000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;Jaciparaná;between Santo Antonio and Jirau rapids;High-water;February;2010;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;Jaciparaná;between Santo Antonio and Jirau rapids;Low-water;May;2010;51;2000;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;Jaciparaná;between Santo Antonio and Jirau rapids;High-water;April;2010;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;Jaciparaná;between Santo Antonio and Jirau rapids;High-water;April;2010;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;High-water;November;2010;79;12000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;
Babão;Brachyplatystoma platynemum;São Carlos;downriver Santo Antonio rapid;High-water;November;2010;54;1500;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;High-water;November;2010;81;8000;3;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;High-water;November;2010;67,5;4000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;High-water;November;2010;95;15000;3;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;High-water;December;2010;83;880;3;10;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;High-water;December;2010;93;14000;3;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;High-water;December;2010;74;8000;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barbachata;Pinirampus pirinampu;São Carlos;downriver Santo Antonio rapid;Low-water;September;2010;39;760;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barbachata;Pinirampus pirinampu;São Carlos;downriver Santo Antonio rapid;Low-water;September;2010;42;950;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;São Carlos;downriver Santo Antonio rapid;High-water;December;2010;39;600;2;;30;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;São Carlos;downriver Santo Antonio rapid;Low-water;June;2010;62;4000;2;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;High-water;December;2010;70;5200;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;High-water;December;2010;81;8100;2;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dourada;Brachyplatystoma rousseauxii;São Carlos;downriver Santo Antonio rapid;High-water;December;2010;85;9200;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Surubim;Pseudoplatystoma punctifer;Jaciparaná;between Santo Antonio and Jirau rapids;High-water;April;2010;59;2100;2;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;São Carlos;downriver Santo Antonio rapid;Low-water;July;2010;39;700;1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;São Carlos;downriver Santo Antonio rapid;Low-water;June;2010;32;400;1;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piramutaba;Brachyplatystoma vaillantii;São Carlos;downriver Santo Antonio rapid;Low-water;June;2010;;1000;1;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
